JOD,USD,23/2/2019,1058
EURO,USD,,1059
JOD,USD,23/2/2019,1060
JOD,USD,23/2/2019,1061
USD,INR,,1062
JOD,USD,23/2/2019,1063
JOD,USD,23/2/2019,1064
INR,USD,23/2/2019,1065
INR,INR,23/2/2019,1066
INR,USD,23/2/2019,1067
JOD,JOD,23/2/2019,1068
JOD,USD,,1069
JOD,INR,23/2/2019,1070
JOD,USD,23/2/2019,1071
JOD,JOD,23/2/2019,1072
JOD,INR,23/2/2019,1073
JOD,USD,23/2/2019,1074
JOD,USD,23/2/2019,1075
JOD,INR,23/2/2019,1076
JOD,JOD,23/2/2019,1077
INR,,23/2/2019,1078
JOD,USD,23/2/2019,1079
EURO,USD,,1080
JOD,USD,23/2/2019,1081
JOD,USD,23/2/2019,1082
USD,INR,,1083
JOD,USD,23/2/2019,1084
JOD,USD,23/2/2019,1085
INR,USD,23/2/2019,1086
INR,INR,23/2/2019,1087
INR,USD,23/2/2019,1088
JOD,JOD,23/2/2019,1089
JOD,USD,,1090
JOD,INR,23/2/2019,1091
JOD,USD,23/2/2019,1092
JOD,JOD,23/2/2019,1093
JOD,INR,23/2/2019,1094
JOD,USD,23/2/2019,1095
JOD,USD,23/2/2019,1096
JOD,INR,23/2/2019,1097
JOD,JOD,23/2/2019,1098
INR,,23/2/2019,1099
JOD,USD,23/2/2019,1100
EURO,USD,,1101
JOD,USD,23/2/2019,1102
JOD,USD,23/2/2019,1103
USD,INR,,1104
JOD,USD,23/2/2019,1105
JOD,USD,23/2/2019,1106
INR,USD,23/2/2019,1107
INR,INR,23/2/2019,1108
INR,USD,23/2/2019,1109
JOD,JOD,23/2/2019,1110
JOD,USD,,1111
JOD,INR,23/2/2019,1112
JOD,USD,23/2/2019,1113
JOD,JOD,23/2/2019,1114
JOD,INR,23/2/2019,1115
JOD,USD,23/2/2019,1116
JOD,USD,23/2/2019,1117
JOD,INR,23/2/2019,1118
JOD,JOD,23/2/2019,1119
INR,,23/2/2019,1120
JOD,USD,23/2/2019,1121
EURO,USD,,1122
JOD,USD,23/2/2019,1123
JOD,USD,23/2/2019,1124
USD,INR,,1125
JOD,USD,23/2/2019,1126
JOD,USD,23/2/2019,1127
INR,USD,23/2/2019,1128
INR,INR,23/2/2019,1129
INR,USD,23/2/2019,1130
JOD,JOD,23/2/2019,1131
JOD,USD,,1132
JOD,INR,23/2/2019,1133
JOD,USD,23/2/2019,1134
JOD,JOD,23/2/2019,1135
JOD,INR,23/2/2019,1136
JOD,USD,23/2/2019,1137
JOD,USD,23/2/2019,1138
JOD,INR,23/2/2019,1139
JOD,JOD,23/2/2019,1140
INR,,23/2/2019,1141
JOD,USD,23/2/2019,1142
EURO,USD,,1143
JOD,USD,23/2/2019,1144
JOD,USD,23/2/2019,1145
USD,INR,,1146
JOD,USD,23/2/2019,1147
JOD,USD,23/2/2019,1148
INR,USD,23/2/2019,1149
